Brewery,City,Name,Abv,Ibu,Srm,Tags
Aktienbrauerei Kaufbeuren,Kaufbeuren,JubilÃ¤ums German Pils,?,?,?,?
Aktienbrauerei Kaufbeuren,Kaufbeuren,St. Martin Doppelbock,7.5%,?,?,german_lager|traditional_german_style_bock
Allguer Brauhaus AG Kempten,Kempten,Bayrisch Hell,4.7%,?,?,?
Allguer Brauhaus AG Kempten,Kempten,Cambonator Doppelbock,7.2%,?,?,german_lager|traditional_german_style_bock
Allguer Brauhaus AG Kempten,Kempten,Winterfestival,5.5%,?,?,german_lager|german_style_oktoberfest
Allguer Brauhaus AG Kempten | Brausttte Leuterschach,Marktoberdorf,SailerbrÃ¤u Rauchenfels Steinweizen,?,?,?,?
Andechser Klosterbrauerei,Andechs,Doppelbock Dunkel,7%,?,?,german_lager|traditional_german_style_bock
Andechser Klosterbrauerei,Andechs,Hell,4.8%,?,?,?
Andechser Klosterbrauerei,Andechs,WeiÃŸbier Dunkel,?,?,?,?
Augustiner-BrÃ¤u MÃ¼nchen,MÃ¼nchen,Dunkel,?,?,?,?
Augustiner-BrÃ¤u MÃ¼nchen,MÃ¼nchen,Edelstoff,?,?,?,?
Augustiner-BrÃ¤u MÃ¼nchen,MÃ¼nchen,Maximator,?,?,?,german_lager|traditional_german_style_bock
Augustiner-BrÃ¤u MÃ¼nchen,MÃ¼nchen,Pils,?,?,?,?
Augustiner-BrÃ¤u MÃ¼nchen,MÃ¼nchen,WeiÃŸbier,?,?,?,other_style|light_american_wheat_ale_or_lager
Bamberger Mahr's-Bru,Bamberg,Christmas Bock,6%,?,?,german_lager|traditional_german_style_bock
Bamberger Mahr's-Bru,Bamberg,Der Weisse Bock,8.5%,?,?,german_ale|south_german_style_weizenbock
Bamberger Mahr's-Bru,Bamberg,HefeweiÃŸbier,?,?,?,german_ale|south_german_style_hefeweizen
Bamberger Mahr's-Bru,Bamberg,Hell,4.9%,?,?,?
Bamberger Mahr's-Bru,Bamberg,Pilsner,4.9%,?,?,?
Bamberger Mahr's-Bru,Bamberg,Ungespundet Lager Hefetrub,5.2%,?,?,?
Bamberger Mahr's-Bru,Bamberg,Weisse,4.9%,?,?,german_ale|south_german_style_hefeweizen
Bayerische Staatsbrauerei Weihenstephan,Freising,Festbier,?,?,?,german_lager|german_style_oktoberfest
Bayerische Staatsbrauerei Weihenstephan,Freising,Hefe Weissbier,5.4%,?,?,german_ale|south_german_style_hefeweizen
Bayerische Staatsbrauerei Weihenstephan,Freising,Hefeweissbier Dunkel,5.3%,?,?,?
Bayerische Staatsbrauerei Weihenstephan,Freising,Korbinian,7.4%,?,?,german_lager|traditional_german_style_bock
Bayerische Staatsbrauerei Weihenstephan,Freising,Kristall Weissbier,5.4%,?,?,german_ale|south_german_style_hefeweizen
Bayerische Staatsbrauerei Weihenstephan,Freising,Original Lager,5.1%,?,?,?
Brauerei Aying Franz Inselkammer KG,Aying,Altbairisch Dunkel,?,?,?,?
Brauerei Aying Franz Inselkammer KG,Aying,BrÃ¤u-Weisse,?,?,?,german_ale|south_german_style_hefeweizen
Brauerei Aying Franz Inselkammer KG,Aying,Celebrator,6.7%,?,?,german_lager|german_style_doppelbock
Brauerei Aying Franz Inselkammer KG,Aying,Jahrhundert-Bier,5.5%,?,?,?
Brauerei Aying Franz Inselkammer KG,Aying,Oktober Fest - MÃ¤rzen,?,?,?,german_lager|german_style_oktoberfest
Brauerei Aying Franz Inselkammer KG,Aying,Ur-Weisse,?,?,?,german_ale|south_german_style_hefeweizen
Brauerei Fssla,Bamberg,Gold-Pils,5.5%,?,?,?
Brauerei Fssla,Bamberg,Lagerbier,5.5%,?,?,?
Brauerei Fssla,Bamberg,Weizla Hell,5%,?,?,german_ale|south_german_style_hefeweizen
Brauerei Fssla,Bamberg,Zwergla,6%,?,?,?
Brauerei Spezial,Bamberg,Rauchbier Lager,4.6%,?,?,?
Brauerei Spezial,Bamberg,Rauchbier MÃ¤rzen,?,?,?,?
Brauerei Spezial,Bamberg,Rauchbier Weissbier,?,?,?,north_american_lager|american_style_lager
Brauerei Spezial,Bamberg,Ungespundetes,?,?,?,?
Brauhaus Faust,Miltenberg,KrÃ¤usen NaturtrÃ¼b,?,?,?,?
BÃ¼rgerbrÃ¤u Wolnzach,Wolnzach,Hell,5.1%,?,?,?
BÃ¼rgerbrÃ¤u Wolnzach,Wolnzach,Nikolausbier AltfrÃ¤nkisches Dunkel,?,?,?,?
BÃ¼rgerbrÃ¤u Wolnzach,Wolnzach,Roggenbier,5.5%,?,?,north_american_lager|american_style_lager
Doemens e.V.,Grfelfing,1809,5%,?,?,?
Eder & Heylands,GroÃŸostheim,Schlappeseppl Export,5.5%,?,?,north_american_lager|american_style_lager
Ettaler Klosterbetriebe Abteilung Brauerei & Destillerie,Ettal,Curator Dunkler Doppelbock,9%,?,?,german_lager|traditional_german_style_bock
Ettaler Klosterbetriebe Abteilung Brauerei & Destillerie,Ettal,Kloster Dunkel,?,?,?,?
Ettaler Klosterbetriebe Abteilung Brauerei & Destillerie,Ettal,Kloster Edel-Hell,?,?,?,?
Frstliche Brauerei Thurn Und Taxis Regensburg,Regensburg,Schierlinger Roggen,?,?,?,north_american_lager|american_style_lager
Hacker-Pschorr Bru,Mnchen,Alt Munich Dark,?,?,?,?
Hacker-Pschorr Bru,Mnchen,Original Oktoberfest,?,?,?,german_lager|german_style_oktoberfest
Hacker-Pschorr Bru,Mnchen,Weisse,?,?,?,german_ale|south_german_style_hefeweizen
Heller Bru Trum,Bamberg,Aecht Schlenkerla Rauchbier MÃ¤rzen,?,?,?,?
Heller Bru Trum,Bamberg,Aecht Schlenkerla Rauchbier Urbock,6%,?,?,german_lager|traditional_german_style_bock
Heller Bru Trum,Bamberg,Aecht Schlenkerla Rauchbier Weizen,?,?,?,north_american_lager|american_style_lager
Heller Bru Trum,Bamberg,Schlenkerla Helles Lagerbier,4.3%,?,?,?
Hirschbru Privatbrauerei Hss,Sonthofen,Bavarian-Weissbier Hefeweisse / Weisser Hirsch,5.2%,?,?,german_ale|south_german_style_hefeweizen
Hirschbru Privatbrauerei Hss,Sonthofen,Doppel-Hirsch Bavarian-Doppelbock,7.2%,?,?,german_lager|traditional_german_style_bock
Hirschbru Privatbrauerei Hss,Sonthofen,Neuschwansteiner Bavarian Lager,?,?,?,?
Hochstiftliches Brauhaus in Bayern,Motten,Will-BrÃ¤u Ur-Bock,?,?,?,german_lager|traditional_german_style_bock
Hofbruhaus Traunstein,Traunstein,Altbairisch Dunkel,5.5%,?,?,?
Hofbruhaus Traunstein,Traunstein,Export-Hell,5.3%,?,?,?
Hofmark Brauerei,Cham,Original Pils,?,?,?,?
Kaiser-Bru,Neuhaus,Original Lager,4.9%,?,?,?
Kaiserdom Privatbrauerei Bamberg,Bamberg,Kellerbier,?,?,?,?
