Name,Address,City,State,Code,Website,Tags
Aktienbrauerei Kaufbeuren,Hohe Buchleuthe 3,Kaufbeuren,BY,,?,?
Allguer Brauhaus AG Kempten,Beethovenstrae 7,Kempten,BY,,?,?
Allguer Brauhaus AG Kempten | Brausttte Leuterschach,Schwendener Strae 18,Marktoberdorf,BY,,?,?
Andechser Klosterbrauerei,Bergstrae 2,Andechs,BY,,?,?
Augustiner-BrÃ¤u MÃ¼nchen,Landsberger Strae 35,MÃ¼nchen,BY,,?,?
Bamberger Mahr's-Bru,Wunderburg 10,Bamberg,BY,,?,?
Bayerische Staatsbrauerei Weihenstephan,Alte Akademie 2,Freising,BY,,?,?
Brauerei Aying Franz Inselkammer KG,Zornedinger Strae 2,Aying,BY,,?,?
Brauerei Fssla,Obere Knigsstrae 19-21,Bamberg,BY,,?,?
Brauerei Spezial,Obere Knigsstrae 10,Bamberg,BY,,?,?
Brauhaus Faust,Hauptstrae 219,Miltenberg,BY,,?,?
BÃ¼rgerbrÃ¤u Wolnzach,Am Brunnen 2,Wolnzach,BY,,?,?
Doemens e.V.,Stefanusstrae 8,Grfelfing,BY,,?,?
Eder & Heylands,Aschaffenburger StraÃŸe 3-5,GroÃŸostheim,BY,63762,?,?
Ettaler Klosterbetriebe Abteilung Brauerei & Destillerie,Kaiser-Ludwig-Platz 1,Ettal,BY,,?,?
Frstliche Brauerei Thurn Und Taxis Regensburg,Waffnergasse 6-8,Regensburg,BY,,?,?
Hacker-Pschorr Bru,?,Mnchen,BY,,?,?
Heller Bru Trum,Dominikanerstrae 6,Bamberg,BY,,?,?
Hirschbru Privatbrauerei Hss,Grntenstrae 7,Sonthofen,BY,,?,?
Hochstiftliches Brauhaus in Bayern,Brckenauer Strae 6,Motten,BY,,?,?
Hofbruhaus Traunstein,Hofgasse 6-11,Traunstein,BY,,?,?
Hofmark Brauerei,Hofmarkstrae 15,Cham,BY,,?,?
Kaiser-Bru,Oberer Markt 1,Neuhaus,BY,,?,?
Kaiserdom Privatbrauerei Bamberg,Breitckerstrae 9,Bamberg,BY,,?,?
Keesmann Bru,Wunderburg 5,Bamberg,BY,,?,?
Klosterbrauerei Weltenburg,Heitzerstrae 2,Regensburg,BY,,?,?
Klosterbru Bamberg,Obere Mhlbrcke 1-3,Bamberg,BY,,?,?
Knig Ludwig Schlobrauerei Kaltenberg,Augsburgerstrae 41,Frstenfeldbruck,BY,,?,?
Kulmbacher Brauerei AG,Lichtenfelser Strae 9,Kulmbach,BY,,?,?
Kulmbacher Mnchshof Bru,?,Kulmbach,BY,,?,?
LÃ¶wenbrÃ¤u Brauerei,Nymphenburger StraÃŸe 4,MÃ¼nchen,BY,,?,?
Maisel Bru,Moosstrae 46,Bamberg,BY,,?,?
Meckatzer Lwenbru,Meckatz 10,Heimenkirch,BY,,?,?
Privatbrauerei Erdinger Weissbru,Franz-Brombach-Strae 1-20,Erding,BY,,?,?
Privatbrauerei Hofmhl,Hofmhlstrae 10,Eichsttt,BY,,?,?
Privater Brauereigasthof Greifenklau,Laurenziplatz 20,Bamberg,BY,,?,?
Restaurant Isarbru,Kreuzeckstrae 23,Pullach im Isartal,BY,,?,?
Schlobrauerei Reckendorf,Mhlweg 18,Reckendorf,BY,,?,?
Simmerberg Brusttt und Taferne,Ellhofer Strae 2,Simmerberg,BY,,?,?
Spaten-Franziskaner-BrÃ¤u,Marsstrae 46-48,MÃ¼nchen,BY,,?,?
St. GeorgenBru Modschiedler KG,Marktstrae 12,Buttenheim,BY,,?,?
Staatliches HofbrÃ¤uhaus in MÃ¼nchen,HofbrÃ¤uallee 1,MÃ¼nchen,BY,,?,?
Tucher Bru,Schillerstrae 14,Nrnberg,BY,,?,?
Unionsbru Haidhausen,Einsteinstrae 42,Mnchen,BY,,?,?
Weissbierbrauerei Hopf,Schtzenstrae 8-10,Miesbach,BY,,?,?
Wrzburger Hofbru AG,Hchberger Strae 28,Wrzburg,BY,,?,?
